stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,stop_duration,drugs_related_stop
10182005,0.817361111,1,32,5,6,0,3,0,15,0
10182005,0.840277778,1,21,5,6,0,6,0,15,0
10182005,0.947222222,1,24,5,1,0,4,0,15,0
10182005,0.956944444,0,24,5,6,0,3,0,15,0
10182005,0.979166667,1,26,2,6,0,3,0,15,0
10182005,0.979166667,1,33,5,6,0,3,0,15,0
10182005,0.990277778,1,47,5,1,1,1,1,30,0
10192005,0.03125,1,29,5,4,0,3,0,15,0
10192005,0.035416667,0,35,2,2,0,3,0,30,0
10192005,0.041666667,1,49,5,4,1,1,1,30,0
10192005,0.072916667,1,22,5,6,0,3,0,15,0
10192005,0.125,1,24,1,1,0,3,0,15,0
10192005,0.336805556,1,40,5,2,0,3,0,30,0
10192005,0.402777778,1,39,5,6,0,3,0,15,0
10192005,0.403472222,0,33,2,6,0,3,0,15,0
10192005,0.460416667,1,23,5,6,0,3,0,15,0
10192005,0.472222222,1,21,2,6,0,3,0,15,0
10192005,0.545138889,0,21,5,6,0,3,0,15,0
10192005,0.618055556,0,50,5,2,0,3,0,15,0
10192005,0.621527778,0,28,5,2,0,3,0,15,0
10192005,0.631944444,0,40,5,6,0,3,0,15,0
10192005,0.677083333,1,51,2,2,0,3,0,15,0
10192005,0.756944444,1,22,5,2,0,3,0,15,0
10192005,0.770833333,1,40,5,1,0,3,0,45,0
10192005,0.791666667,1,30,5,6,0,3,0,15,0
10192005,0.793055556,1,51,5,2,0,1,1,30,0
10192005,0.834027778,0,39,5,6,0,3,0,15,0
10192005,0.989583333,1,20,5,6,0,3,0,15,0
10192005,0.996527778,1,30,2,6,0,3,0,30,0
10202005,0.048611111,1,38,5,6,0,3,0,15,0
10202005,0.05,1,35,2,6,0,6,0,15,0
10202005,0.050694444,0,30,2,6,0,3,0,15,0
10202005,0.077777778,0,19,5,6,1,1,1,30,0
10202005,0.138888889,1,66,5,6,0,3,0,15,0
10202005,0.15625,0,54,1,6,0,3,0,15,0
10202005,0.298611111,1,33,2,2,0,3,0,15,0
10202005,0.34375,1,60,5,6,0,3,0,30,0
10202005,0.350694444,1,27,5,6,0,3,0,15,0
10202005,0.4375,1,58,5,2,0,6,0,30,0
10202005,0.444444444,1,39,5,6,0,3,0,15,0
10202005,0.510416667,1,33,5,6,0,3,0,15,0
